1,1,5,2015-02-03T16:40:26.487,42,8772,2,2,2015-02-03T17:51:07.583,How can I add line numbers to Vim?,2018-12-12T18:05:13.460,[line-numbers],2,0,8
2,2,"",2015-02-03T16:43:11.760,24,"",5,1109,2018-12-12T18:05:13.460,"",2018-12-12T18:05:13.460,[],"",1,""
3,1,8,2015-02-03T16:54:26.737,65,22318,11,28,2015-02-03T16:55:58.233,How can I show relative line numbers?,2017-11-20T16:51:43.517,[line-numbers],4,0,13
4,1,43,2015-02-03T16:54:37.670,35,8389,12,21062,2019-08-06T22:20:56.890,How can I change the default indentation based on filetype?,2019-08-06T22:20:56.890,"[indentation, filetype]",4,0,7
5,2,"",2015-02-03T16:54:58.480,55,"",19,135,2015-02-03T21:05:27.990,"",2015-02-03T21:05:27.990,[],"",2,""
6,1,"",2015-02-03T16:55:25.927,38,5963,2,24,2015-02-05T08:44:10.167,How can I use the undofile?,2015-02-05T08:44:10.167,"[persistent-state, undo-redo]",1,1,10
7,2,"",2015-02-03T16:56:53.240,5,"",27,"",2015-02-03T16:56:53.240,"",2015-02-03T16:56:53.240,[],"",7,""
8,2,"",2015-02-03T16:58:00.347,77,"",19,-1,2017-04-13T12:51:57.303,"",2015-02-03T21:58:31.907,[],"",2,""
9,1,23,2015-02-03T16:58:07.553,21,985,28,343,2016-02-10T10:55:41.193,Can I script Vim using Python?,2016-02-10T10:55:41.193,[vimscript-python],2,1,2
10,2,"",2015-02-03T16:59:52.260,10,"",27,27,2015-02-03T17:06:20.293,"",2015-02-03T17:06:20.293,[],"",1,""
11,2,"",2015-02-03T17:00:05.557,14,"",31,"",2015-02-03T17:00:05.557,"",2015-02-03T17:00:05.557,[],"",0,""
12,1,14,2015-02-03T17:00:19.820,38,2877,24,"",2015-02-03T17:00:19.820,"How can I generate a list of sequential numbers, one per line?",2016-12-07T20:47:09.990,"[line-numbers, text-generation]",5,0,7
13,1,2561,2015-02-03T17:01:08.817,14,658,28,28,2015-02-11T09:12:42.553,Does any solution exist to use vim from touch screen?,2015-03-15T05:28:35.963,[input-devices],1,8,2
14,2,"",2015-02-03T17:02:14.507,53,"",2,-1,2017-04-13T12:51:57.623,"",2015-02-03T17:41:33.180,[],"",1,""
15,2,"",2015-02-03T17:03:20.783,4,"",37,"",2015-02-03T17:03:20.783,"",2015-02-03T17:03:20.783,[],"",0,""
16,1,47,2015-02-03T17:03:23.567,9,99,28,33,2015-02-03T17:47:06.440,Can I use some file-tree selector which exists on graphical IDEs?,2015-02-03T21:07:24.633,[filesystem],4,0,""
17,1,"",2015-02-03T17:05:28.760,15,1654,5,"",2015-02-03T17:05:28.760,How can I search for a string between certain line numbers?,2019-10-03T12:00:35.497,"[line-numbers, search]",4,0,1
18,2,"",2015-02-03T17:05:31.460,18,"",31,"",2015-02-03T17:05:31.460,"",2015-02-03T17:05:31.460,[],"",1,""
